url,name,website,socials,email,address,contact,description,years_active,staff,awards
https://architectdirectory.co.uk/practice/barnsley-hewett-and-mallinson,Barnsley Hewett And Mallinson,https://www.bhmarchitects.com/,[],mail@bhmarchitects.com,"Unit P04, Old Power Station, 121 Mortlake High Street, London, SW14 8SN",Michael Harrison,"We are an RIBA Chartered practice committed to excellent design. BHM are committed to buildings that are designed for life and the way that you live today, with projects ranging from the smallest refurbishment to innovative large-scale developments. We strive to offer the highest standards of professional service along with a friendly, open approach that means we listen to your goals and deliver. Address Unit P04, Old Power Station, 121 Mortlake High Street, London, SW14 8SN Contact Michael Harrison",68,0 - 4,[]
https://architectdirectory.co.uk/practice/base-architecture-and-design,Base Architecture And Design,https://www.basearchitecture.co.uk/,[],hello@basearchitecture.co.uk,,Carl Huntley,"Our residential architecture projects range from single-family dwellings to apartment blocks and residential estates. We acknowledge the individuality of each project, and through our client-centric approach, we blend our knowledge with your vision to create spaces that prioritise comfort, style, and functionality. Influenced by a strong commitment to environmental sustainability, we champion green design principles. Our use of energy-efficient systems and eco-friendly materials contributes to the creation of homes that have sustainability considered wherever practically possible. lakeside lodgefairy glen house garden COMMERCIAL ARCHITECTURE Commercial structures should speak volumes. They reflect a company’s identity, ethos, and spirit. At Base, we comprehend the profound impact architecture can have on businesses, customers, and the community at large. Over the past two decades, we have carved out a niche in the field of commercial architecture. We have designed various structures, ranging from small and medium enterprises to large-scale office buildings, retail outlets, restaurants, and hospitality spaces. Our understanding of the built business environment is comprehensive: we understand how to blend aesthetics and functionality to create spaces that foster productivity, commerce, brand identity, and customer satisfaction. READ MORE SECTORS WE WORK IN modern office spaceiconsys building exteiror aerial view Addresses Unit 1, Nexus, Rousehill, Shrewsbury, SY1 1PT 23 Christleton Road, Chester, CH3 5UF 3 Connaught House, Riverside Business Park, Benarth Road, Conwy, LL32 8UB Contact Carl Huntley",20,5 - 19,[]
https://architectdirectory.co.uk/practice/bbh-chartered-architects,Bbh Chartered Architects,http://www.bbhdartmouth.co.uk/,[],office@bbhdartmouth.co.uk,"9 Duke Street, Dartmouth, TQ6 9PY",Adam Benns,"BBH Chartered Architects Limited offer a dedicated architectural service and have the experience, knowledge and professionalism to enable us to provide realistic and inspired solutions to satisfy all of your building requirements. We take pride in producing designs and results of which all involved can be proud. Address 9 Duke Street, Dartmouth, TQ6 9PY Contact Adam Benns",47,5 - 19,[]
https://architectdirectory.co.uk/practice/bcr-infinity-architects,Bcr Infinity Architects,https://www.bcr-infinityarchitects.co.uk/,[],studio@bcr-infinityarchitects.co.uk,,Christopher Jones,"We approach each project with the benefit of over 30 years worth of knowledge and experience of working within multiple sectors. Our aim is to achieve an appropriateness particular to each project that will fulfil the client’s brief, aspirations and community expectations. Addresses 1 Wellington Street, Cambridge, CB1 1HW The Stable Block, 8 Angel Hill, Bury St Edmunds, IP33 1UZ Contact Christopher Jones",5,5 - 19,[]
https://architectdirectory.co.uk/practice/be-architects,Be Architects,https://www.bearchitects.co.uk/,[],rebecca@bearchitects.co.uk,"12-14 Shaws Road, Altrincham, WA14 1QU",Rebecca Peacock-Nazil,"At Be.architects, we believe that sustainability isn't just a buzzword; it's the cornerstone of our practice. Every design we create is woven with eco-conscious threads, reflecting our commitment to a greener, more responsible future. We blend architectural brilliance with ethical considerations, crafting spaces that harmonize with the environment and enhance the lives they touch. Address 12-14 Shaws Road, Altrincham, WA14 1QU Contact Rebecca Peacock-Nazil",5,0 - 4,[]
https://architectdirectory.co.uk/practice/bell-associates,Bell Associates,http://www.bellassociates.co.uk/,[],design@bellassociates.co.uk,"Millgrove House, 77 Farleigh Road, Warlingham , CR6 9EJ",Andrew Bell,"The Practice provides an architectural consultancy service to a broad range of clients ranging from international companies to individual clients. The fundamental ethos has always been to provide professional design solutions in a prompt and comprehensive manner. Bell Associates have widespread and in depth knowledge of their industry. They have an established reputation within a wide range of sectors, which is demonstrated by the longevity of relationship with clients and the repeat business generated. Address Millgrove House, 77 Farleigh Road, Warlingham , CR6 9EJ Contact Andrew Bell",33,5 - 19,[]
https://architectdirectory.co.uk/practice/benedetti-architects,Benedetti Architects,https://www.benedettiarchitects.com/,"[""https://instagram.com/benedettiarchitects""]",Info@BenedettiArchitects.com,"70 Cowcross Street, London, EC1M 6EJ",Renato Benedetti,"We focus on people – our clients and all who use, or are affected by what we design. We create elegant and uplifting places, finding enduring solutions that add value and are rooted in a contextual understanding of place and the tactile qualities of materials, volume and light. We enjoy taking time to understand clients’ ambitions and values, the wider context and the specific site. We work with our clients to find the best solutions. Good architecture depends on many people working together. We create a relaxed atmosphere of open, creative collaboration between client, design team, stakeholders and builders. We seek the best value out of the complex realities that all projects face, turning constraints into practical opportunities. Address 70 Cowcross Street, London, EC1M 6EJ Contact Renato Benedetti Instagram benedettiarchitects",7,5 - 19,[]
https://architectdirectory.co.uk/practice/bernard-taylor-partnership,Bernard Taylor Partnership,http://www.btparchitects.co.uk/,[],info@btparchitects.co.uk,"Elizabeth House, 486 Didsbury Road, Heaton Mersey, Stockport, SK4 3BS",Victoria Saunders,"Our vision is to design for use and quality of space. We believe that good design should reflect the client brief along with its occupants' expectations, whilst producing high quality, low maintenance and robust schemes. Our mission is to deliver design excellence through investment in our people, clients and communities. Address Elizabeth House, 486 Didsbury Road, Heaton Mersey, Stockport, SK4 3BS Contact Victoria Saunders",76,5 - 19,[]
https://architectdirectory.co.uk/practice/bindloss-daws-architects,Bindloss Daws Architects,http://www.bindlossdawes.com/,[],info@bindlossdawes.com,"9 Quaperlake Street, Burton, BA10 0HF",Oliver Bindloss,"We work collaboratively with our clients to deliver buildings and spaces that sensitively serve unique needs, whilst striving for permanence and quality. Our work balances city and country sensibilities, developed over years delivering complex and celebrated architecture across private residential, retail, cultural and community projects. Address 9 Quaperlake Street, Burton, BA10 0HF Contact Oliver Bindloss",5,5 - 19,[]
https://architectdirectory.co.uk/practice/birds-portchmouth-russum,Birds Portchmouth Russum,http://www.birdsportchmouthrussum.com,"[""https://twitter.com/@BPRarchitecture"", ""https://instagram.com/birdsportchmouthrussum""]",info@birdsportchmouthrussum.com,"Unit 11, Union Wharf, 23 Wenlock Road, London, N1 7SB",Michael Russum,"Our ideas draw strength from urban, historical and social analysis, contemporary culture and art through to the technology of construction. We create sustainable and exquisitely executed architecture and believe that delight and pleasure should be fundamental in any building, product and environment. The public realm is of vital importance and we seek to create public space which encourages people to invigorate and enrich public life. We develop unique and exquisite drawings which communicate the design from early concepts to completed designs. Through collaborative working with a variety of experienced consultants we achieve joyous solutions. Through careful analysis of the site and brief we develop conceptual ideas which inform the design from the master planning stage through to completion of the project in its finest detail. Every project is unique and each design is specifically created and tailored for the client and context. Address Unit 11, Union Wharf, 23 Wenlock Road, London, N1 7SB Contact Michael Russum Twitter @BPRarchitecture Instagram birdsportchmouthrussum",31,5 - 19,[]
https://architectdirectory.co.uk/practice/black-architecture-ltd,Black Architecture Ltd,https://www.black-architecture.com/,"[""https://twitter.com/@Black_Arch"", ""https://instagram.com/black_architecture_""]",contact@black-architecture.com,"Second Floor, Lion House, 3 Plough Yard, London, EC2A 3LP",Steven Burr,"Making the complex simple has been part of our culture since we formed Black in 2003. Our London based practice searches out logical solutions that respond to complex sites and challenging briefs. We begin by listening to our clients, recording and then responding to their needs with thoughtful architecture. Our work doesn’t focus on a style or an architectural image, but about how we can create sustainable buildings that improve the lives of those using them. This approach to wellbeing has enabled us to work with charitable bodies and social housing providers, but equally resolve the needs of both national and international commercial businesses. At the core of this thinking is a desire to create spaces that react responsibly to their context and deliver buildings which use resources responsibly. Who we work with is important to us, as is the ethics of our partners who supply services such as banking, utilities and cleaning. These business choices have influenced our work to date and guide our future plans. Our focus is on finding innovative ways through teamwork to resolve problems which benefit both our clients and those who use their buildings. Skills learnt from our private, third sector and public work influence each other, allowing wider benefits to inform all our work. Address Second Floor, Lion House, 3 Plough Yard, London, EC2A 3LP Contact Steven Burr Twitter @Black_Arch Instagram black_architecture_",17,5 - 19,[]
https://architectdirectory.co.uk/practice/black-cat-architects,Black Cat Architects,https://www.blackcatarchitects.co.uk/,[],andrew@blackcatarchitects.co.uk,,Andrew Docherty,"My passion is helping people get what they want – useful, graceful liveable spaces that reflect the character and lives of those who dwell in them. I work collaboratively and respectfully with my clients and their contractors to ensure an enjoyable, creative stress free design and build process. Addresses 1 Dolfor, Ciliau Aeron, Lampeter, Ceredigion, SA48 8DE Old Cottage, Farfield, Dursley, GL11 5HE Contact Andrew Docherty",,0 - 4,[]
https://architectdirectory.co.uk/practice/blackburn-architects,Blackburn Architects,http://www.blackburnarchitects.co.uk/,[],office@blackburnarchitects.co.uk,"5 Cross Way, Rochester, ME1 3DX",Benjamin Blackburn,"Blackburn Architects is a RIBA chartered practice focused on bespoke, low energy solutions which enhance the experience and function of buildings. Our work is inspired by people, environment, and heritage. From our small studio in Kent – we cover rural and urban locations across London and South East England. Address 5 Cross Way, Rochester, ME1 3DX Contact Benjamin Blackburn",3,0 - 4,[]
https://architectdirectory.co.uk/practice/blee-halligan,Blee Halligan,https://www.bleehalligan.co.uk/,"[""https://twitter.com/@BleeHalligan"", ""https://instagram.com/bleehalligan""]",gregblee@bleehalligan.co.uk,"54 Rivington Street, London, EC2A 3QN",Greg Blee,"Blee Halligan is a RIBA registered and RIBA award-winning architecture firm, with offices in London and the Turks and Caicos Islands. We have forged a reputation for working in remote locations and for architecture that harnesses an emotional connection with natural landscapes. We do not see buildings as isolated objects, rather we think of them as formed by and feeling connected with the specific conditions of each site, be that geographic, climatic, geological, meteorological, cultural or historic. We create unique, innovative and visceral buildings that are designed to be lived in happily, whilst living happily in their setting. Wherever we build, we build with nature in mind. Address 54 Rivington Street, London, EC2A 3QN Contact Greg Blee Twitter @BleeHalligan Instagram bleehalligan",6,0 - 4,[]
https://architectdirectory.co.uk/practice/borgos-pieper,Borgos Pieper,https://www.borgospieper.com/,"[""https://twitter.com/@BorgosPieper"", ""https://instagram.com/borgospieper""]",info@borgospieper.com,"83 Park Mansions, 141 Knightsbridge, London, SW1X 7QU",Etinenne Borgos,"Borgos Pieper is an architecture and design studio directed by Etienne Borgos and Nadine Pieper with offices and associates in London and Barcelona. Our work pursues design excellence at every scale of the built environment; from urban to product design our philosophy incorporates sensitivity to context through a considered approach and careful detailing. The pursuit of quality increasingly embraces the performance of buildings, how they adapt to change and how they may be regenerated with the desire to achieve responsible and timeless projects. The studio is currently developing work in the United Kingdom, Europe, Middle East and the Americas. Address 83 Park Mansions, 141 Knightsbridge, London, SW1X 7QU Contact Etinenne Borgos Twitter @BorgosPieper Instagram borgospieper",13,0 - 4,[]
https://architectdirectory.co.uk/practice/borough-architects,Borough Architects,https://www.borough-architects.co.uk/,"[""https://twitter.com/@boroarc"", ""https://instagram.com/@boroarc""]",contact@borough-architects.co.uk,"88 Stretten Avenue, Cambridge, CB4 3ER",Ze'ev Feigis,"We are a small award winning chartered architecture practice based in Cambridge, UK. The work we do is set mostly in urban contexts, and their complex nature fascinates and inspires us. We strongly believe that a city is the ultimate communal artwork, and therefore each building we help creating contributes towards our culture and society, and every project is an opportunity to benefit the wider environment. Address 88 Stretten Avenue, Cambridge, CB4 3ER Contact Ze'ev Feigis Twitter @boroarc Instagram @boroarc",5,0 - 4,[]
https://architectdirectory.co.uk/practice/bowker-sadler-architecture,Bowker Sadler Architecture,https://www.bowker-sadler.co.uk/,[],office@bowker-sadler.co.uk,"Hatherlow House, Hatherlow, Romiley, Stockport, SK6 3DY",Paul Jeffrey,"We aim to provide a dedicated, friendly, design led architectural service to our clients, with an emphasis on innovation, quality and deliverability & aftercare. While we are known for designing award-winning buildings, each project we undertake is unique and we will never impose a signature style. We will develop a unique solution with each of our clients that is founded in a strong sense of design intent, creativity and integrity. Address Hatherlow House, Hatherlow, Romiley, Stockport, SK6 3DY Contact Paul Jeffrey",40,5 - 19,[]
https://architectdirectory.co.uk/practice/bparchitecture,Bparchitecture,https://www.bparchitecture.co.uk/,[],info@bparchitecture.co.uk,"93 High Street, Biddulph, ST8 6AB",Beverley Poole,"Profile tbc Address 93 High Street, Biddulph, ST8 6AB Contact Beverley Poole",12,5 - 19,[]
https://architectdirectory.co.uk/practice/bpn-architects,Bpn Architects,http://bpnarchitects.co.uk/,[],mail@bpnarchitects.co.uk,"3 Mary Street, Birmingham, B3 1UD",Larry Priest,"We have a collaborative approach to designing buildings and spaces, working alongside clients, end-users, artists, local authorities and other consultants to create better places. This approach has given us a reputation for being cost effective and sustainable, whilst responding to function and context. Address 3 Mary Street, Birmingham, B3 1UD Contact Larry Priest",27,5 - 19,[]
https://architectdirectory.co.uk/practice/bradley-van-der-straeten,Bradley Van Der Straeten,https://b-vds.co.uk//,"[""https://twitter.com/@BVDSarchitects"", ""https://instagram.com/bvdsarchitects""]",info@b-vds.co.uk,"Studio 16, London Fields Studios, 11-17 Exmouth Place, London, E8 3RW",George Bradley,"We are good at ideas. But good ideas are nothing without good execution. We focus on making the process of design and construction simple and enjoyable. We love drawing by hand. We think hand sketching is the best way to explore creative ideas and communicate them to you. Being approachable is important to us. We have a company director and a dedicated project runner on each project from feasibility to construction, providing all projects with a friendly continuity. We love good detail. Producing detailed documents helps us to make the most effective use of your budget and provide you with peace of mind during construction. We know a lot, but we don’t know everything. We have an established network of friendly, experienced consultants and contractors who assist us in making beautiful buildings. Address Studio 16, London Fields Studios, 11-17 Exmouth Place, London, E8 3RW Contact George Bradley Twitter @BVDSarchitects Instagram bvdsarchitects",10,5 - 19,[]
https://architectdirectory.co.uk/practice/brady-mallalieu-architects,Brady Mallalieu Architects,https://bradymallalieu.com/,"[""https://twitter.com/@BradyMallalieu"", ""https://instagram.com/bradymallalieu""]",bma@bradymallalieu.com,"90 Queens Drive, London, N4 2HW",Angela Brady,"Brady Mallalieu Architects are an award winning, design led RIBA Chartered Practice based in London, established by Robin Mallalieu and Angela Brady OBE. Our practice has designed many buildings in the public and private sectors in the UK and overseas including; Housing, Education, Office Fit-out, Healthcare, Historic buildings, Interior Design and Urban Design. Our work has been extensively published and exhibited. We enjoy the challenges of contemporary architecture and working with enlightened clients. Address 90 Queens Drive, London, N4 2HW Contact Angela Brady Twitter @BradyMallalieu Instagram bradymallalieu",25,5 - 19,[]
https://architectdirectory.co.uk/practice/brewster-bye-architects,Brewster Bye Architects,http://www.brewsterbye.co.uk/,[],info@brewsterbye.co.uk,"5 North Hill Road, Headingley, Leeds, LS6 2EN",Nathan Wilkinson,"Brewster Bye Architects are an award-winning and innovative architects practice based in Leeds. We design visually striking but also highly functional architecture. Address 5 North Hill Road, Headingley, Leeds, LS6 2EN Contact Nathan Wilkinson",31,5 - 19,[]
https://architectdirectory.co.uk/practice/brian-o-reilly-architects,Brian O Reilly Architects,http://www.brianoreillyarchitects.com,"[""https://twitter.com/@BORArchitects"", ""https://instagram.com/brianoreilly_architects""]",mail@brianoreillyarchitects.com,"31 Oval Road, London, NW1 7EA",Brian O Reilly,"Brian O’Reilly Architects is a London based RIBA Chartered architecture and design studio, established in January 2004 by Brian & Tijen O’Reilly. The formation of the practice is the result of their desire to bring together their experience and ideas and to determine their own architecture as well as to realise their designs and make things happen. The practice has designed, transformed, restored and created many built projects. We consider every new project as a fresh challenge, tailored to a specific context, requirements of the client, site conditions and budget. Increasingly our portfolio includes conservation and work to listed buildings. Our approach is to deliver well conceived and detailed projects to our clients with strong emphasis on design and inventive use of building materials. The practice enjoys engaging in a range of disciplines needed to make a good project from spatial studies to detailed furniture design. All of our designs are a collaboration with our clients, builders & craftsmen. We draw on our personal cultural heritage and our environment to provide inspiration. We are inspired by authenticity of buildings, context, materials, light, design and people. We look to the visual arts and our surroundings for inspiration. Address 31 Oval Road, London, NW1 7EA Contact Brian O Reilly Twitter @BORArchitects Instagram brianoreilly_architects",16,0 - 4,[]
https://architectdirectory.co.uk/practice/brierley-groom,Brierley Groom,https://www.brierleygroom.co.uk/,[],matthew.groom@brierleygroom.co.uk,"2 Holly Tree House, Harwood Road, Northminster Business Park, Upper Poppleton, York, YO26 6QU",Matthew Groom,"Brierley Groom is an award winning chartered architects practice based in York, North Yorkshire, known for creating both traditional and contemporary architecture throughout the region including York, Harrogate, Wetherby and Boston Spa. Address 2 Holly Tree House, Harwood Road, Northminster Business Park, Upper Poppleton, York, YO26 6QU Contact Matthew Groom",273,0 - 4,[]
https://architectdirectory.co.uk/practice/brisac-gonzalez,Brisac Gonzalez,http://www.bgarchitecture.org,"[""https://instagram.com/link not working""]",admin@brisacgonzalez.com,,Edgar Gonzalez,"BG Architecture formerly Brisac Gonzalez, reflects the evolution of the Southwark-based practice founded in 1999. The practice is committed to providing innovative, people-centred design solutions, focusing on sustainability and careful consideration of site-specific challenges and opportunities. Our London work includes new built and retrofit office and residential schemes. The latter includes both private and public housing, where we specialise in collaborating with local authorities to deliver quality, affordable housing on infill sites. We are concerned with all things architectural in the broadest sense, be it commercial and cultural buildings, as well as urban and interior design. We work by collaborating with our clients and challenging the conventional to create outstanding architecture, better places to live and work, and greater value in the built environment. Our buildings have exceptional spatial qualities that are augmented by palettes of visually rich and robust materials. Our work evolves from rigorous working methods that include collaborations with specialist consultants, comprehensive research of a project’s site and its environmental condition, extensive use of three-dimensional studies, and most importantly responding to our clients’ needs. Address 7 Bermondsey Exchange, 179-181 Bermondsey Street, London, SE1 3UW Contact Edgar Gonzalez Instagram link not working",21,5 - 19,[]
https://architectdirectory.co.uk/practice/brisco-loran,Brisco Loran,http://www.briscoloran.com,"[""https://instagram.com/briscoloranarc""]",info@briscoloran.com,,Thom Brisco,"Brisco Loran is an architecture practice based in London designing spaces for living, work, and the arts. We work with the public sector, communities, institutions, and individuals to deliver projects ranging from housing to furniture. Address Ground Floor Shop 165 Battersea High Street London, SW11 3JS Contact Thom Brisco Instagram briscoloranarc",2,0 - 4,[]
https://architectdirectory.co.uk/practice/bromilow-architects,Bromilow Architects,http://www.bromilowarchitects.co.uk/,[],mail@bromilowarchitects.co.uk,"13 Carpenters Lane, West Kirby, Wirral, CH48 7EX",Sally Bromilow,"Our expertise lies in finding innovative ways to maximise space, adding substantial value to your projects. Address 13 Carpenters Lane, West Kirby, Wirral, CH48 7EX Contact Sally Bromilow",19,0 - 4,[]
https://architectdirectory.co.uk/practice/brooks-architects,Brooks Architects,http://www.brooksarchitects.com/,[],info@brooksarchitects.com,"16 Colonial House, Station Road, Leiston, IP16 4JD",Peter Brooks,"Much of our work is residential; one-off homes, along with conversion and refurbishment of barns, sheds and existing houses to create unique homes for our clients. We have significant experience with listed buildings and heritage projects. We undertake commercial works and have recently delivered a beautiful organic farm shop, a Montessori nursery school, vegetable stores, workshops, vehicle dealerships and a new farmyard. Address 16 Colonial House, Station Road, Leiston, IP16 4JD Contact Peter Brooks",38,0 - 4,[]
https://architectdirectory.co.uk/practice/browning-architects,Browning Architects,https://www.browningarchitects.co.uk/,[],info@browningarchitects.co.uk,"Earlsfield Business Centre, 9 Lydden Road, Earlsfield, London, SW18 4LT",Oliver Browning,"Oliver Browning started Browning Architects Ltd in Wandsworth, South West London, after many years working in the prime residential market at some of Londons most well known and desirable addresses creating beautiful homes. Oliver has worked on commercial projects, including retail shopping malls, and has worked for Terry Farrell on master plan schemes in London and abroad. Address Earlsfield Business Centre, 9 Lydden Road, Earlsfield, London, SW18 4LT Contact Oliver Browning",17,0 - 4,[]
https://architectdirectory.co.uk/practice/brunton-boobyer-partnership,Brunton Boobyer Partnership,http://www.bruntonboobyer.com,[],bbp@bruntonboobyer.com,"201 Greewich High Road, London, SE10 8NB",Simon Boobyer,"The Brunton Boobyer Partnership is a firm of Chartered Architects, established in 1953, with a broad range of experience. The Practice has designed buildings of many types, including primary healthcare facilities, laboratories, bio-medical research facilities, residential developments, offices, educational and industrial buildings. These have involved new-build, refurbishments, conversions, and extensions, including restoration of historic and listed buildings. We are experienced with a range of contract procurement methods, such as traditional and design/build. We are also working with Clients within Framework Agreements and informal partnering arrangements. Our client base includes many private clients and developers, NHS Trusts, Universities, Local Authorities, Government departments and research establishments. Address 201 Greewich High Road, London, SE10 8NB Contact Simon Boobyer",67,5 - 19,[]
https://architectdirectory.co.uk/practice/burrell-and-mistry-ltd,Burrell And Mistry Ltd,http://www.burrellmistry.com,"[""https://twitter.com/@burrellmistry"", ""https://instagram.com/burrellmistry""]",post@burrellmistry.com,"7a Lamb's Conduit Passage, London, WC1R 4RG",James Burrell,"Burrell + Mistry is an award winning studio dedicated to delivering exceptional architecture and design. We are passionate about creating something of intrinsic value for our clients. One of our residential specialities is Paragraph 55 and we have completed many restaurant, private members bars, commercial and other projects both in the UK & internationally to client acclaim. We value our clients and relish the opportunity of working with them on an ever expanding variety of stimulating projects. Our clients respond with great feedback and praise for our hard work and delight in the designs that have exceeded their expectations. We love our work and crave the unusual and challenging schemes whether they are interiors, hotels, residential, commercial or master-planning. Our job is our passion and we believe that building spaces and homes should be life enhancing for everyone. Address 7a Lamb's Conduit Passage, London, WC1R 4RG Contact James Burrell Twitter @burrellmistry Instagram burrellmistry",20,5 - 19,[]
https://architectdirectory.co.uk/practice/bwp-architects,Bwp Architects,http://www.bwparchitects.com/,[],studio3@bwparchitects.com,,James Palmer,"The ability to design individual solutions for each client and for each scheme together with a firm understanding of construction detailing, contract administration and an ability to achieve planning permission where others have failed has attracted many of our clients. A consistently high quality of service ensures many recommendations and repeat work from both private clients and developers. Addresses 4 Leadhall Lane, Harrogate, HG2 9NE 10, Borelli Yard, Farnham, GU9 7NU Contact James Palmer",20,0 - 4,[]
